user_id,month,data_mb,voice_minutes,sms_count
U0000036,2024_07,43.91,0,0
U0000036,2024_08,30.74,0,0
U0000036,2024_09,12.3,0,0
U0000036,2024_10,12.3,0,0
U0000036,2024_11,8.61,0,0
U0000036,2024_12,3.44,0,0
U0000036,2025_01,3.44,2,1
U0000036,2025_02,3.44,0,1
U0000037,2024_07,192.37,0,2
U0000037,2024_08,192.37,0,4
U0000037,2024_09,192.37,3,1
U0000037,2024_10,134.66,0,0
U0000038,2024_07,232.0,1,0
U0000038,2024_08,162.4,0,0
U0000038,2024_09,113.68,0,0
U0000038,2024_10,79.58,0,0
U0000038,2024_11,55.71,0,1
U0000038,2024_12,39.0,0,0
U0000038,2025_01,15.6,0,0
U0000038,2025_02,10.92,0,0
U0000039,2024_07,226.57,0,0
U0000039,2024_08,158.6,0,0
U0000040,2024_07,215.22,0,0
U0000040,2024_08,150.65,3,0
U0000040,2024_09,60.26,0,0
U0000040,2024_10,42.18,0,0
U0000041,2024_07,211.39,6,0
U0000041,2024_08,147.97,0,0
U0000042,2024_07,176.06,0,0
U0000042,2024_08,123.24,0,2
U0000043,2024_07,109.15,0,0
U0000044,2024_07,169.52,1,0
U0000044,2024_08,118.66,0,0
U0000044,2024_09,118.66,0,0
U0000044,2024_10,142.39,2,0
U0000044,2024_11,56.96,0,0
U0000044,2024_12,39.87,0,0
U0000044,2025_01,39.87,0,0
U0000045,2024_07,141.86,0,0
U0000046,2024_07,94.43,0,0
U0000046,2024_08,66.1,0,0
U0000046,2024_09,46.27,0,0
U0000046,2024_10,46.27,0,0
U0000046,2024_11,32.39,0,0
U0000046,2024_12,12.96,0,0
U0000046,2025_01,9.07,0,0
U0000046,2025_02,6.35,0,3
U0000046,2025_03,7.62,0,0
U0000046,2025_04,5.33,0,1
U0000046,2025_05,6.4,2,0
U0000046,2025_06,7.68,0,0
U0000047,2024_07,178.6,0,1
U0000047,2024_08,178.6,1,0
U0000047,2024_09,125.02,1,0
U0000047,2024_10,125.02,0,0
U0000048,2024_07,220.55,0,0
U0000048,2024_08,154.38,0,0
U0000048,2024_09,108.07,0,0
U0000048,2024_10,75.65,0,1
U0000048,2024_11,75.65,0,2
U0000048,2024_12,52.96,0,0
U0000048,2025_01,21.18,0,0
U0000048,2025_02,8.47,0,0
U0000048,2025_03,10.16,1,0
U0000048,2025_04,10.16,0,0
U0000048,2025_05,10.16,0,0
U0000048,2025_06,10.16,0,1
U0000049,2024_07,63.99,0,0
U0000050,2024_07,184.94,2,0
U0000050,2024_08,129.46,3,0
U0000050,2024_09,129.46,1,0
U0000050,2024_10,129.46,0,0
U0000050,2024_11,90.62,0,1
U0000050,2024_12,63.43,0,0
U0000050,2025_01,44.4,0,0
U0000050,2025_02,44.4,0,0
U0000051,2024_07,117.5,0,0
U0000051,2024_08,141.0,0,0
U0000051,2024_09,141.0,6,1
U0000051,2024_10,141.0,0,0
U0000052,2024_07,115.07,0,0
U0000052,2024_08,115.07,5,0
U0000052,2024_09,115.07,0,0
U0000053,2024_07,222.18,0,0
U0000053,2024_08,222.18,0,0
U0000053,2024_09,155.53,0,0
U0000053,2024_10,155.53,0,0
U0000053,2024_11,186.64,0,0
U0000053,2024_12,186.64,0,0
U0000053,2025_01,130.65,0,0
U0000053,2025_02,130.65,0,0
U0000053,2025_03,130.65,1,0
U0000053,2025_04,52.26,1,0
U0000054,2024_07,81.12,5,0
U0000055,2024_07,152.9,0,0
U0000055,2024_08,107.03,0,0
U0000055,2024_09,74.92,0,0
U0000055,2024_10,52.44,0,0
U0000055,2024_11,52.44,2,0
U0000055,2024_12,36.71,2,0
U0000056,2024_07,150.78,0,0
U0000057,2024_07,137.8,0,0
U0000057,2024_08,137.8,0,0
U0000057,2024_09,55.12,0,0
U0000058,2024_07,197.63,0,0
U0000058,2024_08,197.63,0,0
U0000058,2024_09,138.34,0,0
U0000059,2024_07,141.12,0,0
U0000059,2024_08,141.12,0,0
U0000059,2024_09,98.78,0,0
U0000059,2024_10,69.15,0,0
U0000060,2024_07,0.0,0,2
U0000061,2024_07,104.52,0,0
U0000061,2024_08,73.16,0,0
U0000062,2024_07,175.27,1,0
U0000062,2024_08,122.69,0,0
U0000062,2024_09,49.08,0,0
U0000062,2024_10,49.08,0,0
U0000063,2024_07,55.76,0,1
U0000063,2024_08,39.03,0,0
U0000064,2024_07,96.1,1,0
U0000064,2024_08,96.1,0,0
U0000064,2024_09,67.27,0,3
U0000064,2024_10,26.91,0,0
U0000064,2024_11,18.84,1,0
U0000064,2024_12,13.19,0,1
U0000065,2024_07,71.18,0,0
U0000065,2024_08,71.18,0,0
U0000065,2024_09,71.18,0,0
U0000066,2024_07,140.29,0,0
U0000066,2024_08,140.29,2,0
U0000066,2024_09,56.12,3,0
U0000066,2024_10,39.28,1,1
U0000066,2024_11,27.5,1,5
U0000067,2024_07,165.66,0,0
U0000067,2024_08,66.26,0,0
U0000067,2024_09,26.5,0,0
U0000067,2024_10,18.55,0,1
U0000067,2024_11,18.55,0,1
U0000067,2024_12,12.98,0,0
U0000067,2025_01,15.58,0,0
U0000067,2025_02,15.58,0,0
U0000067,2025_03,10.91,4,0
U0000067,2025_04,10.91,0,0
U0000068,2024_07,127.34,0,0
U0000068,2024_08,127.34,0,1
U0000068,2024_09,89.14,0,1
U0000068,2024_10,89.14,0,1
U0000068,2024_11,62.4,0,0
U0000069,2024_07,162.63,1,1
U0000069,2024_08,113.84,0,0
U0000069,2024_09,113.84,0,0
U0000070,2024_07,187.25,0,0
U0000070,2024_08,187.25,6,0
U0000070,2024_09,131.07,0,0
U0000070,2024_10,52.43,1,0
U0000070,2024_11,20.97,0,0
U0000070,2024_12,14.68,0,0
U0000070,2025_01,10.28,0,1
U0000070,2025_02,7.2,0,2
U0000071,2024_07,101.06,1,0
U0000072,2024_07,159.77,3,0
U0000073,2024_07,161.75,0,0
U0000073,2024_08,113.22,0,0
U0000074,2024_07,79.8,0,0
U0000074,2024_08,55.86,0,0
U0000074,2024_09,39.1,0,1
U0000074,2024_10,27.37,0,0
U0000074,2024_11,27.37,0,1
U0000074,2024_12,10.95,0,0
U0000074,2025_01,13.14,1,0
U0000074,2025_02,5.26,0,0
U0000074,2025_03,3.68,0,0
U0000074,2025_04,2.58,0,0
U0000074,2025_05,1.81,0,0
U0000074,2025_06,1.81,0,0
U0000075,2024_07,171.69,0,0
U0000075,2024_08,68.68,0,0
U0000076,2024_07,144.63,0,0
U0000076,2024_08,144.63,0,0
U0000076,2024_09,144.63,0,2
U0000076,2024_10,101.24,0,0
U0000076,2024_11,70.87,0,5
U0000076,2024_12,70.87,0,0
U0000076,2025_01,70.87,0,0
U0000076,2025_02,70.87,1,0
U0000076,2025_03,70.87,0,0
U0000077,2024_07,140.87,0,2
U0000077,2024_08,140.87,0,1
U0000077,2024_09,169.04,0,0
U0000078,2024_07,101.08,0,0
U0000078,2024_08,40.43,5,0
U0000078,2024_09,40.43,0,0
U0000079,2024_07,180.99,0,0
U0000079,2024_08,217.19,0,1
U0000079,2024_09,152.03,0,0
U0000080,2024_07,97.18,0,1
U0000080,2024_08,38.87,3,2
U0000081,2024_07,208.59,0,0
U0000081,2024_08,146.01,0,0
U0000081,2024_09,102.21,0,0
U0000081,2024_10,102.21,0,0
U0000081,2024_11,71.55,0,0
U0000081,2024_12,28.62,3,1
U0000081,2025_01,11.45,1,0
U0000081,2025_02,4.58,0,2
U0000081,2025_03,1.83,0,0
U0000082,2024_07,169.06,0,0
U0000082,2024_08,169.06,0,0
U0000082,2024_09,118.34,0,0
U0000082,2024_10,82.84,0,0
U0000082,2024_11,82.84,0,0
U0000082,2024_12,82.84,0,0
U0000083,2024_07,20.58,0,0
U0000083,2024_08,8.23,7,1
U0000083,2024_09,8.23,0,0
U0000083,2024_10,8.23,0,0
U0000083,2024_11,5.76,3,0
U0000083,2024_12,5.76,0,0
U0000083,2025_01,5.76,2,0
U0000084,2024_07,250.76,0,0
U0000084,2024_08,300.91,0,0
U0000084,2024_09,120.36,0,0
U0000085,2024_07,159.93,0,0
U0000086,2024_07,102.45,0,2
U0000086,2024_08,102.45,2,0
U0000086,2024_09,71.72,0,0
U0000086,2024_10,50.2,2,0
U0000086,2024_11,35.14,0,0
U0000086,2024_12,35.14,0,0
U0000086,2025_01,14.06,0,0
U0000087,2024_07,125.34,0,1
U0000087,2024_08,87.74,0,0
U0000087,2024_09,61.42,0,0
U0000087,2024_10,42.99,0,1
U0000087,2024_11,42.99,0,0
U0000087,2024_12,17.2,0,0
U0000087,2025_01,6.88,0,0
U0000087,2025_02,8.26,0,0
U0000087,2025_03,8.26,0,4
U0000087,2025_04,8.26,2,0
U0000087,2025_05,3.3,0,2
U0000087,2025_06,2.31,6,0
U0000088,2024_07,136.57,0,0
U0000088,2024_08,54.63,0,0
U0000088,2024_09,38.24,0,7
U0000088,2024_10,26.77,0,0
U0000089,2024_07,157.47,0,0
U0000089,2024_08,188.96,0,0
U0000089,2024_09,226.75,1,0
U0000089,2024_10,226.75,0,1
U0000089,2024_11,158.72,0,0
U0000089,2024_12,111.1,0,1
U0000089,2025_01,111.1,0,1
U0000089,2025_02,44.44,0,0
U0000089,2025_03,44.44,0,1
U0000089,2025_04,31.11,1,0
U0000089,2025_05,31.11,0,0
U0000089,2025_06,31.11,1,0
U0000090,2024_07,231.58,0,0
U0000090,2024_08,162.11,0,0
U0000090,2024_09,113.48,0,0
U0000090,2024_10,136.18,0,0
U0000090,2024_11,95.33,0,0
U0000090,2024_12,66.73,0,0
U0000090,2025_01,46.71,0,0
U0000090,2025_02,32.7,1,0
U0000090,2025_03,32.7,1,1
U0000090,2025_04,32.7,2,0
U0000090,2025_05,22.89,5,0
U0000090,2025_06,16.02,0,0
U0000091,2024_07,259.29,0,5
U0000091,2024_08,311.15,0,0
U0000091,2024_09,217.8,0,0
U0000091,2024_10,217.8,0,0
U0000091,2024_11,152.46,0,1
U0000091,2024_12,152.46,0,0
U0000092,2024_07,95.02,0,0
U0000093,2024_07,175.57,1,0
U0000094,2024_07,86.31,0,1
U0000094,2024_08,86.31,0,1
U0000094,2024_09,60.42,1,0
U0000094,2024_10,42.29,0,0
U0000095,2024_07,183.78,0,0
U0000095,2024_08,220.54,0,1
U0000095,2024_09,154.38,0,1
U0000095,2024_10,185.26,6,0
U0000095,2024_11,222.31,0,0
U0000095,2024_12,88.92,0,0
U0000095,2025_01,35.57,0,3
U0000095,2025_02,35.57,0,0
U0000095,2025_03,24.9,0,0
U0000096,2024_07,139.06,0,0
U0000096,2024_08,97.34,0,0
U0000096,2024_09,38.94,0,0
U0000096,2024_10,27.26,0,0
U0000096,2024_11,27.26,1,0
U0000096,2024_12,27.26,1,0
U0000096,2025_01,19.08,0,0
U0000096,2025_02,13.36,0,0
U0000096,2025_03,16.03,0,0
U0000096,2025_04,6.41,0,0
U0000096,2025_05,4.49,0,0
U0000097,2024_07,135.08,0,0
U0000098,2024_07,116.64,0,0
U0000098,2024_08,81.65,0,0
U0000098,2024_09,57.16,1,10
U0000098,2024_10,40.01,0,0
U0000098,2024_11,28.01,0,0
U0000098,2024_12,19.61,3,4
U0000098,2025_01,13.73,0,0
U0000098,2025_02,5.49,0,0
U0000098,2025_03,5.49,0,0
U0000098,2025_04,6.59,0,6
U0000098,2025_05,6.59,1,4
U0000099,2024_07,186.58,0,0
U0000099,2024_08,130.61,0,1
U0000099,2024_09,130.61,0,0
U0000099,2024_10,130.61,0,0
U0000099,2024_11,52.24,0,0
U0000099,2024_12,52.24,1,0
U0000100,2024_07,200.36,1,0
U0000100,2024_08,140.25,0,0
U0000101,2024_07,101.26,0,2
U0000101,2024_08,70.88,0,0
U0000101,2024_09,70.88,0,0
U0000101,2024_10,49.62,2,0
U0000101,2024_11,34.73,0,0
U0000101,2024_12,24.31,0,0
U0000102,2024_07,107.72,4,0
U0000103,2024_07,157.55,0,1
U0000104,2024_07,217.56,0,0
U0000104,2024_08,261.07,0,0
U0000104,2024_09,261.07,2,0
U0000105,2024_07,159.91,0,0
U0000105,2024_08,111.94,0,0
U0000105,2024_09,78.36,0,0
U0000105,2024_10,54.85,0,0
U0000105,2024_11,38.39,0,0
U0000106,2024_07,202.42,0,0
U0000106,2024_08,242.9,1,1
U0000106,2024_09,291.48,0,0
U0000106,2024_10,204.04,1,0
U0000106,2024_11,142.83,0,0
U0000106,2024_12,99.98,0,0
U0000106,2025_01,119.98,0,0
U0000106,2025_02,119.98,0,0
U0000107,2024_07,140.67,3,0
U0000108,2024_07,111.66,0,0
U0000108,2024_08,111.66,0,0
U0000108,2024_09,133.99,0,1
U0000108,2024_10,53.6,0,0
U0000108,2024_11,37.52,0,0
U0000109,2024_07,122.1,0,0
U0000109,2024_08,146.52,0,0
U0000109,2024_09,102.56,0,0
U0000110,2024_07,162.72,0,0
U0000110,2024_08,65.09,0,0
U0000111,2024_07,136.53,0,0
U0000112,2024_07,89.16,0,1
U0000112,2024_08,89.16,0,0
U0000112,2024_09,106.99,0,0
U0000112,2024_10,128.39,0,0
U0000112,2024_11,128.39,0,0
U0000112,2024_12,89.87,2,0
U0000112,2025_01,62.91,0,4
U0000113,2024_07,176.85,0,0
U0000113,2024_08,70.74,0,0
U0000113,2024_09,84.89,3,0
U0000113,2024_10,33.96,0,1
U0000113,2024_11,23.77,0,1
U0000113,2024_12,23.77,0,0
U0000113,2025_01,23.77,0,0
U0000114,2024_07,172.31,0,1
U0000114,2024_08,68.92,0,0
U0000114,2024_09,27.57,0,0
U0000114,2024_10,33.08,0,4
U0000114,2024_11,39.7,0,2
U0000114,2024_12,15.88,0,0
U0000115,2024_07,205.93,0,0
U0000115,2024_08,247.12,0,0
U0000115,2024_09,98.85,0,0
U0000115,2024_10,69.19,0,0
U0000115,2024_11,69.19,0,0
U0000115,2024_12,48.43,0,0
U0000115,2025_01,48.43,0,0
U0000115,2025_02,33.9,0,0
U0000115,2025_03,33.9,0,0
U0000115,2025_04,33.9,0,0
U0000115,2025_05,33.9,0,3
U0000116,2024_07,51.63,0,0
U0000116,2024_08,51.63,0,0
U0000117,2024_07,186.43,0,0
U0000117,2024_08,186.43,0,1
U0000117,2024_09,74.57,2,0
U0000118,2024_07,160.5,3,0
U0000118,2024_08,192.6,0,1
U0000118,2024_09,77.04,0,0
U0000119,2024_07,80.78,0,0
U0000119,2024_08,32.31,0,0
U0000119,2024_09,22.62,0,0
U0000119,2024_10,15.83,0,0
U0000120,2024_07,136.27,0,0
U0000121,2024_07,180.64,0,0
U0000121,2024_08,180.64,0,0
U0000121,2024_09,216.77,0,0
U0000121,2024_10,216.77,2,0
U0000121,2024_11,260.12,0,0
U0000121,2024_12,104.05,1,0
U0000121,2025_01,72.83,2,0
U0000121,2025_02,50.98,0,0
U0000121,2025_03,61.18,0,0
U0000121,2025_04,42.83,2,0
U0000121,2025_05,29.98,0,0
U0000121,2025_06,20.99,0,0
U0000122,2024_07,130.81,1,5
U0000122,2024_08,52.32,0,0
U0000122,2024_09,36.62,0,3
U0000122,2024_10,36.62,6,0
U0000122,2024_11,25.63,0,7
U0000122,2024_12,10.25,0,1
U0000122,2025_01,7.18,0,0
U0000122,2025_02,5.03,0,2
U0000122,2025_03,6.04,0,0
U0000123,2024_07,65.07,1,0
U0000123,2024_08,26.03,0,0
U0000123,2024_09,31.24,0,0
U0000123,2024_10,21.87,0,0
U0000123,2024_11,15.31,3,0
U0000123,2024_12,15.31,1,0
U0000124,2024_07,75.32,2,0
U0000125,2024_07,200.34,0,0
U0000125,2024_08,80.14,0,0
U0000126,2024_07,212.23,0,0
U0000126,2024_08,84.89,0,0
U0000126,2024_09,84.89,0,0
U0000126,2024_10,59.42,0,0
U0000126,2024_11,41.59,0,0
U0000126,2024_12,49.91,0,0
U0000127,2024_07,231.16,0,0
U0000128,2024_07,157.56,0,0
U0000129,2024_07,105.23,0,0
U0000129,2024_08,105.23,0,0
U0000129,2024_09,42.09,0,4
U0000129,2024_10,29.46,0,0
U0000129,2024_11,35.35,1,0
U0000130,2024_07,173.11,0,0
U0000130,2024_08,173.11,0,1
U0000130,2024_09,121.18,0,0
U0000130,2024_10,84.83,0,0
U0000130,2024_11,33.93,0,3
U0000130,2024_12,23.75,1,0
U0000130,2025_01,16.62,0,0
U0000130,2025_02,16.62,0,6
U0000131,2024_07,235.56,0,0
U0000131,2024_08,164.89,0,0
U0000131,2024_09,164.89,0,0
U0000131,2024_10,115.42,1,0
U0000131,2024_11,115.42,0,1
U0000131,2024_12,115.42,1,0
U0000131,2025_01,80.79,0,0
U0000131,2025_02,80.79,0,0
U0000131,2025_03,32.32,2,3
U0000132,2024_07,126.17,0,0
U0000132,2024_08,50.47,0,0
U0000132,2024_09,50.47,0,0
U0000132,2024_10,35.33,0,0
U0000132,2024_11,14.13,0,1
U0000132,2024_12,9.89,0,0
U0000132,2025_01,3.96,0,0
U0000132,2025_02,1.58,0,0
U0000132,2025_03,0.63,4,2
U0000132,2025_04,0.63,0,0
U0000132,2025_05,0.44,0,0
U0000132,2025_06,0.31,0,1
U0000133,2024_07,204.66,0,0
U0000133,2024_08,245.59,5,1
U0000133,2024_09,98.24,0,0
U0000133,2024_10,39.3,3,0
U0000133,2024_11,27.51,0,0
U0000133,2024_12,27.51,0,0
U0000133,2025_01,11.0,4,0
U0000133,2025_02,11.0,0,0
U0000133,2025_03,11.0,0,0
U0000133,2025_04,7.7,0,0
U0000134,2024_07,165.33,0,3
U0000134,2024_08,115.73,1,2
U0000134,2024_09,81.01,0,1
U0000134,2024_10,81.01,0,0
U0000134,2024_11,56.71,0,0
U0000135,2024_07,213.64,5,4
U0000136,2024_07,58.32,0,1
U0000136,2024_08,40.82,0,0
U0000137,2024_07,80.19,4,0
U0000138,2024_07,146.68,0,0
U0000138,2024_08,102.68,0,0
U0000138,2024_09,123.22,1,0
U0000138,2024_10,123.22,0,0
U0000138,2024_11,49.29,0,1
U0000138,2024_12,34.5,0,0
U0000138,2025_01,24.15,0,0
U0000138,2025_02,16.9,0,0
U0000138,2025_03,16.9,0,0
U0000138,2025_04,16.9,1,0
U0000138,2025_05,16.9,0,0
U0000138,2025_06,16.9,2,0
U0000139,2024_07,212.77,0,0
U0000139,2024_08,148.94,0,0
U0000139,2024_09,104.26,2,0
U0000139,2024_10,104.26,0,1
U0000139,2024_11,72.98,0,2
U0000139,2024_12,72.98,0,0
U0000139,2025_01,72.98,0,0
U0000139,2025_02,87.58,0,0
U0000139,2025_03,87.58,1,0
U0000139,2025_04,87.58,0,0
U0000139,2025_05,87.58,0,1
U0000139,2025_06,35.03,2,0
U0000140,2024_07,202.38,0,0
U0000140,2024_08,202.38,1,1
U0000140,2024_09,141.67,0,0
U0000141,2024_07,170.53,0,0
U0000141,2024_08,68.21,0,2
U0000141,2024_09,81.85,1,0
U0000141,2024_10,57.29,1,0
U0000142,2024_07,196.8,1,0
U0000143,2024_07,199.17,0,0
U0000143,2024_08,139.42,0,3
U0000143,2024_09,55.77,0,0
U0000144,2024_07,164.51,0,0
U0000144,2024_08,164.51,0,0
U0000145,2024_07,78.31,3,0
U0000146,2024_07,246.67,0,0
U0000146,2024_08,172.67,0,0
U0000146,2024_09,172.67,0,0
U0000146,2024_10,120.87,1,6
U0000147,2024_07,216.97,0,2
U0000147,2024_08,151.88,0,0
U0000147,2024_09,106.32,1,0
U0000148,2024_07,184.55,1,0
U0000148,2024_08,221.46,0,2
U0000148,2024_09,88.58,0,0
U0000149,2024_07,203.68,0,0
U0000149,2024_08,81.47,0,3
U0000149,2024_09,81.47,0,0
U0000150,2024_07,189.9,1,0
U0000150,2024_08,189.9,0,1
U0000150,2024_09,132.93,1,0
U0000151,2024_07,209.56,0,0
U0000151,2024_08,146.69,0,0
U0000151,2024_09,58.68,0,0
U0000151,2024_10,41.08,0,1
U0000151,2024_11,16.43,0,0
U0000152,2024_07,67.4,0,0
U0000153,2024_07,128.68,0,0
U0000153,2024_08,90.08,0,0
U0000154,2024_07,149.45,0,1
U0000155,2024_07,133.49,0,0
U0000155,2024_08,133.49,0,0
U0000155,2024_09,160.19,0,1
U0000155,2024_10,112.13,0,0
U0000155,2024_11,78.49,0,0
U0000155,2024_12,54.94,0,0
U0000155,2025_01,54.94,0,0
U0000156,2024_07,162.09,0,0
U0000156,2024_08,113.46,0,0
U0000157,2024_07,132.89,0,0
U0000157,2024_08,93.02,0,0
U0000157,2024_09,37.21,0,0
U0000157,2024_10,37.21,0,0
U0000157,2024_11,14.88,0,0
U0000157,2024_12,14.88,0,1
U0000157,2025_01,10.42,0,0
U0000158,2024_07,145.91,1,1
U0000158,2024_08,102.14,0,0
U0000158,2024_09,122.57,0,2
U0000158,2024_10,85.8,1,0
U0000158,2024_11,60.06,0,0
U0000158,2024_12,60.06,0,4
U0000158,2025_01,60.06,0,0
U0000158,2025_02,60.06,0,0
U0000158,2025_03,60.06,0,1
U0000159,2024_07,132.34,0,1
U0000160,2024_07,75.74,0,0
U0000160,2024_08,30.3,0,0
U0000160,2024_09,21.21,0,0
U0000160,2024_10,25.45,0,0
U0000160,2024_11,10.18,0,0
U0000161,2024_07,148.46,0,0
U0000161,2024_08,103.92,0,0
U0000161,2024_09,72.74,0,0
U0000161,2024_10,29.1,0,0
U0000161,2024_11,20.37,0,0
U0000161,2024_12,8.15,0,1
U0000161,2025_01,5.7,1,0
U0000161,2025_02,3.99,0,0
U0000161,2025_03,3.99,0,0
U0000161,2025_04,2.79,0,0
U0000161,2025_05,3.35,0,0
U0000161,2025_06,2.34,0,1
U0000162,2024_07,198.27,0,0
U0000162,2024_08,138.79,0,0
U0000163,2024_07,187.95,0,0
U0000163,2024_08,131.56,0,1
U0000163,2024_09,92.09,0,0
U0000164,2024_07,168.63,0,0
U0000164,2024_08,67.45,0,0
U0000164,2024_09,26.98,1,0
U0000164,2024_10,32.38,0,0
U0000164,2024_11,22.67,1,0
U0000165,2024_07,172.21,0,0
U0000166,2024_07,140.32,0,0
U0000166,2024_08,56.13,1,0
U0000166,2024_09,67.36,0,0
U0000166,2024_10,47.15,0,0
U0000166,2024_11,18.86,0,0
U0000166,2024_12,18.86,0,0
U0000167,2024_07,104.9,0,0
U0000167,2024_08,125.88,0,0
U0000167,2024_09,50.35,0,0
U0000168,2024_07,165.04,0,6
U0000168,2024_08,165.04,0,0
U0000168,2024_09,115.53,0,3
U0000168,2024_10,46.21,0,0
U0000169,2024_07,186.06,0,0
U0000169,2024_08,74.42,0,0
U0000169,2024_09,74.42,0,0
U0000169,2024_10,89.3,0,0
U0000169,2024_11,62.51,1,0
U0000169,2024_12,43.76,1,0
U0000169,2025_01,17.5,0,0
U0000169,2025_02,17.5,0,2
U0000169,2025_03,12.25,0,0
U0000169,2025_04,8.57,0,0
